company,job_age,address,job_type,min_exp_yrs,city,country,job_age_in_days
The Food Lab,8 days ago,"Maadi, Cairo, Egypt ",Full time,2,Cairo, Egypt ,8
Raya Customer Experience,10 days ago,"Cairo, Egypt ",Full time,5,Cairo, Egypt ,10
Zeina Group,12 days ago,"Sheikh Zayed, Giza, Egypt ",Full time,1,Giza, Egypt ,12
Premier Services and Recruitment,12 days ago,"6th of October, Giza, Egypt ",Full time,4,Giza, Egypt ,12
almentor,15 days ago,"Maadi, Cairo, Egypt ",Full time,3,Cairo, Egypt ,15
Olam SVI,16 days ago,"6th of October, Giza, Egypt ",Full time,0,Giza, Egypt ,16
Fund Ourselves Ltd,19 days ago,"Downtown, Cairo, Egypt ",Full time,1,Cairo, Egypt ,19
Carina Wear,30 days ago,"New Cairo, Cairo, Egypt ",Full time,1,Cairo, Egypt ,30
Z2 Data,30 days ago,"Nasr City, Cairo, Egypt ",Full time,3,Cairo, Egypt ,30
Second profit  ,30 days ago,"Cairo, Egypt ",Full time,1,Cairo, Egypt ,30
Safa International Travel,9 days ago,"Dokki, Giza, Egypt ",Full time,3,Giza, Egypt ,9
AKL Auto Feeding Industries,30 days ago,"Talkha, Dakahlia, Egypt ",Full time,2,Dakahlia, Egypt ,30
Transformation Experts,16 days ago,"Riyadh, Saudi Arabia ",Full time,3,Riyadh, Saudi Arabia ,16
OPEX Egypt,20 days ago,"New Cairo, Cairo, Egypt ",Full time,2,Cairo, Egypt ,20
Confidential -,30 days ago,"Alexandria, Egypt ",Full time,3,Alexandria, Egypt ,30
Andalusia Group,30 days ago,"Alexandria, Egypt ",Freelance project,2,Alexandria, Egypt ,30
AKL Auto Feeding Industries,30 days ago,"Talkha, Dakahlia, Egypt ",Full time,2,Dakahlia, Egypt ,30
Ashtar.app,12 days ago,"Maadi, Cairo, Egypt ",Full time,1,Cairo, Egypt ,12
Target Recruitment  & HR Solutions ,20 days ago,"Cairo, Egypt ",Full time,2,Cairo, Egypt ,20
StatsBomb,30 days ago,"Nasr City, Cairo, Egypt ",Full time,5,Cairo, Egypt ,30
World Vest Base (WVB ),8 days ago,"Heliopolis, Cairo, Egypt ",Full time,0,Cairo, Egypt ,8
World Vest Base (WVB ),11 days ago,"Heliopolis, Cairo, Egypt ",Full time,0,Cairo, Egypt ,11
Paymob Solutions,20 days ago,"Maadi, Cairo, Egypt ",Full time,2,Cairo, Egypt ,20
Target for Chemicals industry and trade,17 days ago,"Bourj Alarab, Alexandria, Egypt ",Full time,3,Alexandria, Egypt ,17
Elaraby Group,30 days ago,"Cairo, Egypt ",Full time,0,Cairo, Egypt ,30
360Imaging,9 days ago,"Dokki, Giza, Egypt ",Full time,5,Giza, Egypt ,9
Transformation Experts,11 days ago,"Riyadh, Saudi Arabia ",Full time,3,Riyadh, Saudi Arabia ,11
SME Consulting ,13 days ago,"Nasr City, Cairo, Egypt ",Work from home,0,Cairo, Egypt ,13
Confidential -,9 days ago,"New Cairo, Cairo, Egypt ",Full time,4,Cairo, Egypt ,9
Rasan,9 days ago,"Nasr City, Cairo, Egypt ",Full time,4,Cairo, Egypt ,9
Transformation Experts,9 days ago,"Riyadh, Saudi Arabia ",Part time,3,Riyadh, Saudi Arabia ,9
Lun Development,11 days ago,"Nasr City, Cairo, Egypt ",Freelance project,2,Cairo, Egypt ,11
Code95,13 days ago,"Ismailia, Egypt ",Full time,4,Ismailia, Egypt ,13
Town Team,30 days ago,"Tanta, Gharbia, Egypt ",Full time,3,Gharbia, Egypt ,30
Meem Development,17 days ago,"Smouha, Alexandria, Egypt ",Full time,2,Alexandria, Egypt ,17
Confidential -,9 days ago,"Sheraton, Cairo, Egypt ",Full time,5,Cairo, Egypt ,9
Future Group,11 days ago,"Dokki, Giza, Egypt ",Full time,1,Giza, Egypt ,11
Confidential -,30 days ago,"Smart Village, Giza, Egypt ",Work from home,5,Giza, Egypt ,30
Maxab,30 days ago,"Maadi, Cairo, Egypt ",Full time,0,Cairo, Egypt ,30
Marico,19 days ago,"Katameya, Cairo, Egypt ",Full time,5,Cairo, Egypt ,19
Majorel Egypt,17 days ago,"Cairo, Egypt ",Full time,1,Cairo, Egypt ,17
e Aswaaq Misr,30 days ago,"6th of October, Giza, Egypt ",Full time,7,Giza, Egypt ,30
citPEAK,18 days ago,"Nasr City, Cairo, Egypt ",Full time,3,Cairo, Egypt ,18
Fixed Solutions,18 days ago,"Sheraton, Cairo, Egypt ",Full time,5,Cairo, Egypt ,18
Med Right for medical services,30 days ago,"Maadi, Cairo, Egypt ",Full time,1,Cairo, Egypt ,30
Johnson Controls,25 days ago,"Cairo, Egypt ",Full time,6,Cairo, Egypt ,25
Algoriza,26 days ago,"Cairo, Egypt ",Full time,4,Cairo, Egypt ,26
Hire,25 days ago,"Garden City, Cairo, Egypt ",Full time,4,Cairo, Egypt ,25
Talaat Moustafa Group,30 days ago,"Dokki, Giza, Egypt ",Full time,1,Giza, Egypt ,30
GTCI Constructors ,25 days ago,"Heliopolis, Cairo, Egypt ",Full time,1,Cairo, Egypt ,25
Webhelp,18 days ago,"New Cairo, Cairo, Egypt ",Full time,1,Cairo, Egypt ,18
Sykes Enterprises,25 days ago,"Maadi, Cairo, Egypt ",Full time,1,Cairo, Egypt ,25
Genovity ,30 days ago,"Cairo, Egypt ",Work from home,5,Cairo, Egypt ,30
BlueCloud,30 days ago,"Sheraton, Cairo, Egypt ",Full time,1,Cairo, Egypt ,30
SME Consulting ,30 days ago,"Heliopolis, Cairo, Egypt ",Full time,1,Cairo, Egypt ,30
LEONI Wiring System Egypt S.A.E,30 days ago,"Nasr City, Cairo, Egypt ",Full time,0,Cairo, Egypt ,30
Softec Technologies,30 days ago,"Maadi, Cairo, Egypt ",Full time,5,Cairo, Egypt ,30
Informatique Education,11 days ago,"Nasr City, Cairo, Egypt ",Full time,3,Cairo, Egypt ,11
BBI-Consultancy,8 days ago,"Cairo, Egypt ",Freelance project,2,Cairo, Egypt ,8
Fund Ourselves Ltd,30 days ago,"Downtown, Cairo, Egypt ",Full time,0,Cairo, Egypt ,30
Etisalat Misr,30 days ago,"New Cairo, Cairo, Egypt ",Full time,5,Cairo, Egypt ,30
Wadi Group,60 days ago,"6th of October, Giza, Egypt ",Full time,0,Giza, Egypt ,60
Caelum Egypt,16 days ago,"Dokki, Giza, Egypt ",Full time,5,Giza, Egypt ,16
Cairo Three A  for International Industries.,30 days ago,"Cairo, Egypt ",Full time,1,Cairo, Egypt ,30
AAMBFS,11 days ago,"Giza, Egypt ",Full time,5,Giza, Egypt ,11
NMDC,11 days ago,"Cairo, Egypt ",Full time,5,Cairo, Egypt ,11
Evolvice GmbH,25 days ago,"Maadi, Cairo, Egypt ",Full time,3,Cairo, Egypt ,25
BlinkApp,30 days ago,"Nasr City, Cairo, Egypt ",Full time,3,Cairo, Egypt ,30
American Shop ,30 days ago,"New Cairo, Cairo, Egypt ",Full time,1,Cairo, Egypt ,30
Etisalat Misr,13 days ago,"Cairo, Egypt ",Full time,2,Cairo, Egypt ,13
Paymob Solutions,28 days ago,"Maadi, Cairo, Egypt ",Full time,2,Cairo, Egypt ,28
Confidential -,30 days ago,"New Cairo, Cairo, Egypt ",Full time,6,Cairo, Egypt ,30
Expand Cart,30 days ago,"6th of October, Giza, Egypt ",Full time,2,Giza, Egypt ,30
Tech-Hub,30 days ago,"New Cairo, Cairo, Egypt ",Full time,3,Cairo, Egypt ,30
Ashtar.app,30 days ago,"Maadi, Cairo, Egypt ",Full time,3,Cairo, Egypt ,30
Kick Start Interactive,30 days ago,"Dokki, Giza, Egypt ",Full time,3,Giza, Egypt ,30
Public Cloud Service,30 days ago,"Dokki, Giza, Egypt ",Full time,3,Giza, Egypt ,30
Confidential -,30 days ago,"Maadi, Cairo, Egypt ",Full time,2,Cairo, Egypt ,30
Confidential -,27 days ago,"Cairo, Egypt ",Full time,3,Cairo, Egypt ,27
Lun Development,30 days ago,"Nasr City, Cairo, Egypt ",Full time,2,Cairo, Egypt ,30
SmartTech Systems,30 days ago,"Cairo, Egypt ",Full time,5,Cairo, Egypt ,30
Dolf,30 days ago,"Heliopolis, Cairo, Egypt ",Full time,3,Cairo, Egypt ,30
B.Tech,30 days ago,"Cairo, Egypt ",Full time,2,Cairo, Egypt ,30
RISEUP (Endemag for Administrative Skills Development),30 days ago,"Abu Rawash, Giza, Egypt ",Full time,3,Giza, Egypt ,30
BBI-Consultancy,30 days ago,"Cairo, Egypt ",Full time,2,Cairo, Egypt ,30
Intercap Capital ,30 days ago,"Dokki, Giza, Egypt ",Full time,0,Giza, Egypt ,30
Premium Card,30 days ago,"Dokki, Giza, Egypt ",Full time,3,Giza, Egypt ,30
Aman Holding,30 days ago,"Cairo, Egypt ",Work from home,10,Cairo, Egypt ,30
Confidential -,30 days ago,"Heliopolis, Cairo, Egypt ",Full time,4,Cairo, Egypt ,30
AppLogica,30 days ago,"Sheraton, Cairo, Egypt ",Full time,8,Cairo, Egypt ,30
Mubasher,19 days ago,"Nasr City, Cairo, Egypt ",Full time,0,Cairo, Egypt ,19
DevartLab,60 days ago,"Cairo, Egypt ",Full time,2,Cairo, Egypt ,60
Caduceus Lane,60 days ago,"Alexandria, Egypt ",Internship,4,Alexandria, Egypt ,60
egabi solutions,30 days ago,"Sheraton, Cairo, Egypt ",Full time,4,Cairo, Egypt ,30
Ibn Sina Pharma,25 days ago,"New Cairo, Cairo, Egypt ",Full time,5,Cairo, Egypt ,25
SAED,18 days ago,"Cairo, Egypt ",Full time,7,Cairo, Egypt ,18
Mubasher,27 days ago,"Nasr City, Cairo, Egypt ",Part time,4,Cairo, Egypt ,27
UnitLabs,30 days ago,"Dokki, Giza, Egypt ",Full time,4,Giza, Egypt ,30
Mantrac,30 days ago,"10th of Ramadan City, Cairo, Egypt ",Full time,3,Cairo, Egypt ,30
MAHARA HR,30 days ago,"Khobar, Saudi Arabia ",Full time,5,Khobar, Saudi Arabia ,30
Happy Vision,30 days ago,"Mohandessin, Giza, Egypt ",Full time,2,Giza, Egypt ,30
Jumia,12 days ago,"Cairo, Egypt ",Full time,3,Cairo, Egypt ,12
Easy Cash,30 days ago,"Heliopolis, Cairo, Egypt ",Full time,3,Cairo, Egypt ,30
CRIF EGYPT,30 days ago,"Heliopolis, Cairo, Egypt ",Full time,2,Cairo, Egypt ,30
Premier Services and Recruitment,11 days ago,"6th of October, Giza, Egypt ",Full time,1,Giza, Egypt ,11
Maxab,30 days ago,"Cairo, Egypt ",Full time,1,Cairo, Egypt ,30
Confidential -,18 days ago,"Heliopolis, Cairo, Egypt ",Work from home,5,Cairo, Egypt ,18
Microtech,16 days ago,"Dokki, Giza, Egypt ",Full time,5,Giza, Egypt ,16
EFG Hermes,19 days ago,"Smart Village, Giza, Egypt ",Full time,1,Giza, Egypt ,19
Talaat Moustafa Group,20 days ago,"Dokki, Giza, Egypt ",Full time,5,Giza, Egypt ,20
Z2 Data,30 days ago,"Nasr City, Cairo, Egypt ",Full time,2,Cairo, Egypt ,30
Ibn Sina Pharma,25 days ago,"New Cairo, Cairo, Egypt ",Full time,5,Cairo, Egypt ,25
Dataplus,11 days ago,"Cairo, Egypt ",Full time,3,Cairo, Egypt ,11
Raya Customer Experience,11 days ago,"6th of October, Giza, Egypt ",Part time,0,Giza, Egypt ,11
Confidential -,19 days ago,"New Cairo, Cairo, Egypt ",Full time,3,Cairo, Egypt ,19
Confidential -,30 days ago,"Nasr City, Cairo, Egypt ",Full time,1,Cairo, Egypt ,30
Talaat Moustafa Group,29 days ago,"Dokki, Giza, Egypt ",Full time,2,Giza, Egypt ,29
Etisalat Misr,18 days ago,"Maadi, Cairo, Egypt ",Full time,1,Cairo, Egypt ,18
Confidential -,27 days ago,"Nasr City, Cairo, Egypt ",Full time,3,Cairo, Egypt ,27
Medineeds,13 days ago,"Agouza, Giza, Egypt ",Full time,2,Giza, Egypt ,13
BNC Network,27 days ago,"15th May City, Cairo, Egypt ",Full time,0,Cairo, Egypt ,27
BlinkApp,27 days ago,"Nasr City, Cairo, Egypt ",Full time,4,Cairo, Egypt ,27
Andalusia Group,19 days ago,"Maadi, Cairo, Egypt ",Full time,1,Cairo, Egypt ,19
Confidential -,14 days ago,"Maadi, Cairo, Egypt ",Full time,0,Cairo, Egypt ,14
CRIF EGYPT,16 days ago,"Heliopolis, Cairo, Egypt ",Full time,3,Cairo, Egypt ,16
NetEra,16 days ago,"Alexandria, Egypt ",Full time,3,Alexandria, Egypt ,16
Onecard,23 days ago,"Nasr City, Cairo, Egypt ",Full time,1,Cairo, Egypt ,23
Maxab,10 days ago,"Cairo, Egypt ",Full time,1,Cairo, Egypt ,10
Pyramid Poultry Co.,23 days ago,"Maadi, Cairo, Egypt ",Full time,2,Cairo, Egypt ,23
Elaraby Group,30 days ago,"Cairo, Egypt ",Full time,4,Cairo, Egypt ,30
Real Mark,11 days ago,"Heliopolis, Cairo, Egypt ",Work from home,4,Cairo, Egypt ,11
Elsaba AutoService,25 days ago,"New Cairo, Cairo, Egypt ",Full time,3,Cairo, Egypt ,25
Egyptian British Co.,24 days ago,"6th of October, Giza, Egypt ",Full time,1,Giza, Egypt ,24
TechnoBit Group,18 days ago,"Cairo, Egypt ",Full time,4,Cairo, Egypt ,18
Confidential -,18 days ago,"Heliopolis, Cairo, Egypt ",Full time,4,Cairo, Egypt ,18
Caelum Egypt,12 days ago,"Dokki, Giza, Egypt ",Part time,1,Giza, Egypt ,12
Majorel Egypt,30 days ago,"Cairo, Egypt ",Full time,1,Cairo, Egypt ,30
Confidential -,11 days ago,"Maadi, Cairo, Egypt ",Full time,3,Cairo, Egypt ,11
Sismatix Information System,18 days ago,"New Cairo, Cairo, Egypt ",Full time,1,Cairo, Egypt ,18
StatsBomb,30 days ago,"Nasr City, Cairo, Egypt ",Full time,4,Cairo, Egypt ,30
Ibtikar,15 days ago,"Alexandria, Egypt ",Full time,2,Alexandria, Egypt ,15
Perfect Presentation,30 days ago,"6th of October, Giza, Egypt ",Full time,5,Giza, Egypt ,30
Global Medical Solutions International ,30 days ago,"Cairo, Egypt ",Full time,2,Cairo, Egypt ,30
BI-Technologies,30 days ago,"New Cairo, Cairo, Egypt ",Freelance project,1,Cairo, Egypt ,30
Elaraby Group,30 days ago,"Cairo, Egypt ",Full time,0,Cairo, Egypt ,30
Confidential -,30 days ago,"Nasr City, Cairo, Egypt ",Work from home,4,Cairo, Egypt ,30
Ibn Sina Pharma,30 days ago,"New Cairo, Cairo, Egypt ",Full time,7,Cairo, Egypt ,30
appcorp,25 days ago,"Heliopolis, Cairo, Egypt ",Full time,4,Cairo, Egypt ,25
TTC Technologies,30 days ago,"Heliopolis, Cairo, Egypt ",Full time,3,Cairo, Egypt ,30
Nile Projects & Trading,30 days ago,"6th of October, Giza, Egypt ",Full time,7,Giza, Egypt ,30
Digified,30 days ago,"Maadi, Cairo, Egypt ",Full time,2,Cairo, Egypt ,30
SURE International Technology,30 days ago,"Nasr City, Cairo, Egypt ",Full time,4,Cairo, Egypt ,30
Venu Apps,30 days ago,"Cairo, Egypt ",Work from home,3,Cairo, Egypt ,30
tcl alfa lighting,27 days ago,"New Nozha, Cairo, Egypt ",Full time,5,Cairo, Egypt ,27
Martoo,11 days ago,"Dubai, United Arab Emirates ",Full time,3,Dubai, United Arab Emirates ,11
Senwan Group - El-Hebri Egypt,30 days ago,"Cairo, Egypt ",Full time,1,Cairo, Egypt ,30
Al-Nasser ,30 days ago,"6th of October, Giza, Egypt ",Full time,4,Giza, Egypt ,30
Edrak United,30 days ago,"Cairo, Egypt ",Full time,6,Cairo, Egypt ,30
WAVZ for Digital Transformation,30 days ago,"Maadi, Cairo, Egypt ",Full time,6,Cairo, Egypt ,30
3S Software,30 days ago,"Nasr City, Cairo, Egypt ",Full time,1,Cairo, Egypt ,30
3S Software,17 days ago,"Nasr City, Cairo, Egypt ",Full time,3,Cairo, Egypt ,17
Confidential -,30 days ago,"Heliopolis, Cairo, Egypt ",Full time,10,Cairo, Egypt ,30
Onnmed,30 days ago,"Cairo, Egypt ",Full time,0,Cairo, Egypt ,30
Fawry Microfinance ,30 days ago,"Maadi, Cairo, Egypt ",Full time,1,Cairo, Egypt ,30
3S Software,30 days ago,"Nasr City, Cairo, Egypt ",Full time,7,Cairo, Egypt ,30
Egyptian Medical Syndicates Union,30 days ago,"Garden City, Cairo, Egypt ",Full time,3,Cairo, Egypt ,30
Veripark,18 days ago,"Cairo, Egypt ",Full time,8,Cairo, Egypt ,18
Caduceus Lane,18 days ago,"Alexandria, Egypt ",Work from home,3,Alexandria, Egypt ,18
Confidential -,30 days ago,"Alexandria, Egypt ",Full time,5,Alexandria, Egypt ,30
Safa International Travel,30 days ago,"Dokki, Giza, Egypt ",Full time,3,Giza, Egypt ,30
Microtech,60 days ago,"Dokki, Giza, Egypt ",Full time,3,Giza, Egypt ,60
Link Datacenter,60 days ago,"Dokki, Giza, Egypt ",Full time,2,Giza, Egypt ,60
Confidential -,30 days ago,"Dubai, United Arab Emirates ",Full time,5,Dubai, United Arab Emirates ,30
Brmaja,30 days ago,"New Cairo, Cairo, Egypt ",Full time,3,Cairo, Egypt ,30
Carina Wear,30 days ago,"New Cairo, Cairo, Egypt ",Full time,3,Cairo, Egypt ,30
Onnmed,20 days ago,"Cairo, Egypt ",Full time,0,Cairo, Egypt ,20
